iter	Passed	Remaining
464	754	868
465	757	867
466	758	865
467	759	863
468	761	861
469	762	859
470	764	858
471	765	856
472	767	854
473	768	852
474	769	850
475	771	849
476	773	848
477	776	847
478	777	845
479	780	845
480	785	847
481	789	848
482	792	848
483	795	848
484	797	846
485	798	844
486	833	878
487	835	876
488	837	875
489	839	873
490	840	871
491	842	869
492	844	868
493	846	867
494	848	865
495	850	864
496	855	865
497	857	864
498	859	862
499	861	861
500	862	859
501	864	857
502	865	855
503	867	853
504	879	862
505	881	860
506	897	872
507	899	871
508	901	869
509	903	867
510	905	866
511	909	866
512	911	865
513	913	863
514	916	862
515	917	861
516	920	860
517	922	858
518	924	856
519	925	854
520	927	852
521	929	850
522	930	848
523	931	846
524	934	845
525	936	843
526	938	842
527	939	840
528	941	838
529	943	836
530	944	834
531	945	831
532	946	829
533	948	827
534	949	825
535	950	823
536	952	821
537	953	819
538	954	816
539	955	814
540	957	812
541	958	809
542	959	807
543	961	805
544	962	803
545	964	801
546	966	800
547	967	798
548	969	796
549	970	794
550	972	792
551	974	790
552	975	788
553	976	785
554	978	784
555	979	782
556	980	780
557	983	779
558	985	777
559	986	775
560	987	772
561	989	771
562	991	769
563	993	767
564	994	765
565	996	763
566	997	762
567	999	760
568	1000	758
569	1002	756
570	1003	754
571	1005	752
572	1006	750
573	1007	748
574	1010	747
575	1012	745
576	1014	743
577	1018	743
578	1022	743
579	1023	741
580	1025	739
581	1027	737
582	1028	735
583	1030	734
584	1032	732
585	1033	730
586	1034	727
587	1035	725
588	1037	723
589	1038	721
590	1040	719
591	1041	717
592	1042	715
593	1044	713
594	1045	711
595	1047	709
596	1048	707
597	1049	705
598	1050	703
599	1051	701
600	1052	699
601	1054	696
602	1055	694
603	1056	692
604	1057	690
605	1058	688
606	1059	686
607	1060	684
608	1062	681
609	1063	679
610	1064	677
611	1065	675
612	1066	673
613	1067	671
614	1068	669
615	1069	666
616	1070	664
617	1072	662
618	1074	661
619	1075	659
620	1076	657
621	1077	654
622	1078	652
623	1080	650
624	1081	648
625	1082	646
626	1084	645
627	1085	642
628	1086	640
629	1087	638
630	1088	636
631	1090	634
632	1091	632
633	1092	630
634	1094	629
635	1095	627
636	1097	625
637	1098	623
638	1099	621
639	1100	619
640	1101	617
641	1103	615
642	1104	613
643	1105	611
644	1106	608
645	1107	606
646	1108	604
647	1109	602
648	1110	600
649	1111	598
650	1113	596
651	1114	594
652	1115	592
653	1117	591
654	1119	589
655	1120	587
656	1121	585
657	1122	583
658	1123	581
659	1124	579
660	1125	577
661	1127	575
662	1128	573
663	1129	571
664	1130	569
665	1131	567
666	1133	565
667	1134	563
668	1135	561
669	1136	559
670	1137	557
671	1139	556
672	1140	554
673	1141	552
674	1143	550
675	1144	548
676	1145	546
677	1147	544
678	1148	543
679	1149	541
680	1151	539
681	1152	537
682	1153	535
683	1154	533
684	1155	531
685	1156	529
686	1157	527
687	1158	525
688	1159	523
689	1160	521
690	1161	519
691	1163	517
692	1164	516
693	1166	514
694	1167	512
695	1168	510
696	1169	508
697	1170	506
698	1172	504
699	1173	502
700	1174	500
701	1175	498
702	1176	497
703	1178	495
704	1179	493
705	1180	491
706	1182	489
707	1183	488
708	1184	486
709	1185	484
710	1186	482
711	1187	480
712	1188	478
713	1189	476
714	1190	474
715	1192	472
716	1193	471
717	1194	469
718	1196	467
719	1197	465
720	1198	463
721	1199	461
722	1200	459
723	1201	457
724	1202	456
725	1204	454
726	1205	452
727	1206	450
728	1207	448
729	1208	447
730	1209	445
731	1211	443
732	1212	441
733	1213	439
734	1213	437
735	1215	435
736	1216	434
737	1217	432
738	1218	430
739	1219	428
740	1221	426
741	1222	424
742	1223	423
743	1225	421
744	1226	419
745	1227	417
746	1228	416
747	1229	414
748	1231	412
749	1232	410
750	1233	408
751	1234	406
752	1235	405
753	1237	403
754	1238	401
755	1240	400
756	1242	398
757	1244	397
758	1247	396
759	1248	394
760	1250	392
761	1251	390
762	1253	389
763	1254	387
764	1256	385
765	1257	384
766	1258	382
767	1259	380
768	1260	378
769	1261	376
770	1262	374
771	1263	373
772	1266	371
773	1267	370
774	1268	368
775	1269	366
776	1271	364
777	1272	363
778	1274	361
779	1275	359
780	1277	358
781	1278	356
782	1279	354
783	1281	352
784	1282	351
785	1283	349
786	1285	348
787	1287	346
788	1288	344
789	1289	342
790	1290	341
791	1291	339
792	1293	337
793	1294	335
794	1295	334
795	1296	332
796	1297	330
797	1299	328
798	1301	327
799	1303	325
800	1304	324
801	1305	322
802	1307	320
803	1308	319
804	1309	317
805	1311	315
806	1313	314
807	1314	312
808	1317	310
809	1318	309
810	1320	307
811	1321	306
812	1323	304
813	1325	302
814	1327	301
815	1329	299
816	1330	298
817	1332	296
818	1334	294
819	1336	293
820	1338	291
821	1339	290
822	1341	288
823	1342	286
824	1343	285
825	1345	283
826	1347	281
827	1349	280
828	1350	278
829	1352	276
830	1353	275
831	1355	273
832	1356	271
833	1357	270
834	1359	268
835	1360	266
836	1362	265
837	1363	263
838	1364	261
839	1366	260
840	1367	258
841	1369	256
842	1370	255
843	1372	253
844	1373	251
845	1375	250
846	1376	248
847	1377	246
848	1379	245
849	1381	243
850	1382	242
851	1384	240
852	1385	238
853	1387	237
854	1388	235
855	1390	233
856	1391	232
857	1393	230
858	1394	228
859	1395	227
860	1396	225
861	1398	223
862	1400	222
863	1402	220
864	1403	219
865	1404	217
866	1406	215
867	1408	214
868	1409	212
869	1410	210
870	1411	209
871	1412	207
872	1414	205
873	1415	204
874	1416	202
875	1417	200
876	1419	199
877	1420	197
878	1421	195
879	1423	194
880	1425	192
881	1426	190
882	1427	189
883	1428	187
884	1430	185
885	1431	184
886	1432	182
887	1433	180
888	1434	179
889	1435	177
890	1436	175
891	1438	174
892	1439	172
893	1440	170
894	1441	169
895	1442	167
896	1444	165
897	1445	164
898	1446	162
899	1447	160
900	1448	159
901	1450	157
902	1451	155
903	1452	154
904	1454	152
905	1455	151
906	1457	149
907	1458	147
908	1459	146
909	1461	144
910	1462	142
911	1463	141
912	1464	139
913	1466	137
914	1467	136
915	1469	134
916	1471	133
917	1473	131
918	1475	130
919	1477	128
920	1479	126
921	1480	125
922	1482	123
923	1483	121
924	1484	120
925	1485	118
926	1487	117
927	1488	115
928	1489	113
929	1490	112
930	1492	110
931	1493	108
932	1494	107
933	1495	105
934	1496	104
935	1498	102
936	1499	100
937	1500	99
938	1501	97
939	1503	95
940	1504	94
941	1505	92
942	1506	91
943	1507	89
944	1508	87
945	1509	86
946	1510	84
947	1511	82
948	1512	81
949	1513	79
950	1514	78
951	1516	76
952	1517	74
953	1518	73
954	1519	71
955	1520	69
956	1521	68
957	1522	66
958	1523	65
959	1524	63
960	1525	61
961	1526	60
962	1528	58
963	1530	57
964	1531	55
965	1532	53
966	1533	52
967	1534	50
968	1535	49
969	1536	47
970	1538	45
971	1539	44
972	1540	42
973	1541	41
974	1542	39
975	1543	37
976	1544	36
977	1546	34
978	1547	33
979	1548	31
980	1549	30
981	1550	28
982	1551	26
983	1552	25
984	1553	23
985	1554	22
986	1555	20
987	1556	18
988	1557	17
989	1558	15
990	1559	14
991	1570	12
992	1571	11
993	1572	9
994	1573	7
995	1574	6
996	1575	4
997	1576	3
998	1578	1
999	1579	0
